family,test,status,key_result
methodology,active_market_clock,KEEP,wall_clock_horizon_corrected
methodology,chart_only_direction_without_spread,KEEP,execution_contamination_removed
methodology,stable_key_joins,KEEP,row_alignment_bug_prevented
methodology,first_M1_flip_direct_condition,REJECT,look_ahead
L,L1_1R_4h_harvest,CONTROL,high_WR_thin_payoff
L,L1_pure_4h_hold,DEGRADED,higher_EV_lower_WR_environment_concentrated
L,L1_partial_or_lock_family,CLOSED,no_joint_WR_payoff_solution
L,L2_ONE_RENEG_D24,CONTROL,positive_recurrent_short_horizon_family
L,L2_ANY_ALIGN,DEGRADED,adds_density_but_D14_only_branch_thin
L,L2_50pct_pullback_entry,REJECT,no_improvement
L,L2_D24_age,SHADOW,strong_consumed_signal_external_N_insufficient
L,L2_mature_runner_1R_BE_3R,SHADOW,improves_consumed_EV_not_validated
H,D24_aligned_MENV_HH,CONTROL,strong_large_destination
H,H_4h_plus1_survival_checkpoint,REJECT,cuts_slow_TP5_winners
H,nonHH_plus3R,REJECT,negative
H,super_HH_continuous_strength,REJECT,no_robust_incremental_value
H,automatic_opposed_inversion,REJECT,failed
source,multiscale_k_1p5_2_2p5_union,REJECT,density_gain_edge_dilution
source,M5_liquidity,REJECT,high_N_negative
source,previous_H4_high_low,REJECT,high_N_negative
source,PDH_PDL,DEGRADED,some_cells_positive_not_robust_cost_sensitive
source,M15_confirmed_pivot,REJECT,negative_or_flat
source,opening_range,REJECT,negative
source,accepted_breakout_retest,REJECT,negative
source,delayed_failed_break,REJECT,negative
source,generic_pullback_resumption,REJECT,high_N_negative
source,M15_BOS_retest,REJECT,negative_direction_and_economics
source,faster_sweep_candle_M5_trigger,REJECT,more_N_destroyed_L_edge
source,M30_DC,DIAGNOSTIC,mostly_duplicates_existing_M15_physical_events
FVG,M15_FVG,CLOSED,no_independent_robust_economic_edge_after_corrections
FVG,H1_FVG,CLOSED,weak_direction_tilt_not_enough_after_cost_path
market_suitability,recovery_to_M5_conversion,SHADOW_DENSITY,strong_trade_density_relation_not_profitability
