market,event_id,h1_open,decision_time,side,ktr,ktr_regime,session,h1_close,action,sl_mult,tp_mult,outcome,n_legs,campaign_R,entry_time,exit_time,future_path,retrospective_archetype,retrospective_plan,why_it_makes_sense,lesson,retro_confidence
BTCUSD#,BTCUSD-01,2026-02-15 06:00:00,2026-02-15 07:00:00,UPPER,302.9000000000088,NORMAL,ASIA,70172.5,SKIP,,,SKIP,0,0.0,,,상방 +2.6KTR 먼저 진행한 뒤 대규모 하락(-7KTR).,돌파 scalp → 후속 reversal,LONG / SL 0.5KTR / TP 2KTR / runner 없음,상승 trend와 세션 고가 돌파가 있었고 +2K까지 필요한 adverse는 0.19KTR뿐. 다만 event close가 candle 상단이 아니어서 장기 continuation 신뢰는 낮음.,몸통이 두 밴드 밖 마감하지 않아도 breakout은 가능하다. 대신 target을 짧게.,MEDIUM
BTCUSD#,BTCUSD-02,2026-04-15 18:00:00,2026-04-15 19:00:00,LOWER,622.7999999999884,NORMAL,US,73823.6,LONG,2.5,2.0,TP,1,0.7757080402965342,2026-04-15 19:00:00,2026-04-15 22:36:00,하방 heat 0.14KTR 뒤 상방 +2KTR를 깨끗하게 달성.,기본(하단 mean reversion),LONG / SL 0.5KTR / TP 2KTR / 추가진입 없음,"trend mixed/range, event는 두 밴드 밖 마감이 아니고 세션 박스도 확정 이탈하지 않음. 하단 rare event를 fade하기 좋은 구조.",가장 교과서적인 basic 유형. 이 경우 방향 근거는 DB 위치+range context이지 candle 색이 아님.,HIGH
BTCUSD#,BTCUSD-03,2026-04-25 01:00:00,2026-04-25 02:00:00,LOWER,561.9000000000087,NORMAL,US,77322.0,LONG,2.5,1.5,TP,1,0.5731233595800449,2026-04-25 02:00:00,2026-04-26 08:28:00,"상방 약 +1KTR까지만 진행, 이후 뚜렷한 확장 없음.",기본 scalp 또는 skip,LONG을 한다면 SL 0.5KTR / TP 1KTR. 1.5~2K 목표는 금지.,하단 DB지만 기존 downtrend가 남아 있어 반등의 질이 낮음.,basic countertrend의 TP는 trend strength에 따라 짧아져야 한다.,MEDIUM
BTCUSD#,BTCUSD-04,2026-05-31 17:00:00,2026-05-31 18:00:00,LOWER,219.10000000000585,LOW,US,73594.5,LONG,3.5,2.0,TP,2,1.3598724769867363,2026-05-31 18:00:00,2026-06-01 02:02:00,"먼저 상방 +2.7KTR 반등 후, 이후 하방 -10KTR 가까운 본추세 재개.",변곡 scalp(일시적 mean reversion) → 후속 breakout,LONG / SL 1KTR / TP 2KTR / runner 없음. 이후 재하락은 별도 short setup.,LOW KTR + 하단 DB + 강한 하락 직후라 단기 반등 여지가 컸음. 그러나 큰 추세는 여전히 아래라 장기 보유는 부적절.,변곡이 “새 추세의 시작”일 필요는 없다. 단기 mean reversion과 진짜 trend reversal을 구분해야 함.,MEDIUM
BTCUSD#,BTCUSD-05,2026-06-14 00:00:00,2026-06-14 01:00:00,UPPER,207.90000000000143,LOW,US,64456.7,LONG,3.0,3.5,SL,6,-6.0,2026-06-14 01:00:00,2026-06-14 20:37:00,"+1KTR 상승 후 -3.8KTR 하락, 다시 이후 +5KTR 이상. 매우 양방향.",전환 구간/확인 대기,"WAIT. 상단 돌파 유지면 LONG scalp, 밴드 내부 재진입/세션 고가 실패면 SHORT turning.","LOW KTR인데 상단 DB, prior trend는 up지만 두 밴드 밖 마감은 아님. 미래 path도 실제로 양쪽을 크게 소화.",DB가 방향을 주지 않는 대표 사례. “조건부 시나리오”가 단일 즉시진입보다 맞음.,HIGH
BTCUSD#,BTCUSD-06,2026-06-22 04:00:00,2026-06-22 05:00:00,UPPER,528.6999999999971,NORMAL,ASIA,64592.2,LONG,2.5,3.0,SL,5,-5.0,2026-06-22 05:00:00,2026-06-23 09:06:00,"하방 1KTR는 거의 즉시, 2KTR는 훨씬 더 큰 역행 필요.",기본 scalp,SHORT / SL 0.5KTR / TP 1KTR / 추가진입 없음,mixed/range + 상단 DB + 두 밴드 밖 마감 아님. 단기 fade는 강하지만 지속성 없음.,basic은 작은 목표를 반복해서 가져가는 구조일 수 있다.,MEDIUM
BTCUSD#,BTCUSD-07,2026-07-22 08:00:00,2026-07-22 09:00:00,LOWER,350.0,NORMAL,ASIA,65968.7,LONG,2.5,2.5,SL,5,-5.0,2026-07-22 09:00:00,2026-07-23 15:42:00,하방 1KTR가 우선 진행. 더 큰 target은 느리고 불안정.,돌파 scalp,SHORT / SL 0.75KTR / TP 1KTR / 추가진입 없음,"하단 DB, 강한 음봉, 두 밴드 밖 마감, 세션 저가 이탈이 동시에 발생.",breakout이어도 continuation strength가 약하면 1K만 취하고 종료.,HIGH
BTCUSD#,BTCUSD-08,2026-07-27 01:00:00,2026-07-27 02:00:00,UPPER,163.5,LOW,US,65398.7,LONG,3.5,3.0,SL,7,-7.0,2026-07-27 02:00:00,2026-07-27 17:30:00,먼저 +1KTR 상승한 뒤 -10KTR 가까운 폭락.,blow-off → 변곡,즉시 SHORT보다 WAIT. event high 유지 실패/밴드 내부 재진입 확인 후 SHORT / SL 약 1.5KTR / TP 2KTR.,"prior +5.5KTR, event body +3.4KTR, BB 폭도 크게 확장된 blow-off. close 자체는 강한 bullish라 immediate fade는 hindsight 위험.",“강한 몸통=돌파”가 가장 위험하게 틀리는 유형. terminal expansion을 따로 봐야 한다.,HIGH
GOLD#,GOLD-01,2026-04-17 15:00:00,2026-04-17 16:00:00,UPPER,16.039999999999964,NORMAL,EUROPE,4846.26,LONG,2.0,3.0,SL,4,-4.0,2026-04-17 16:00:00,2026-04-20 01:00:00,상방 +2K를 11분 내 달성한 뒤 +3K는 실패하고 결국 하락 전환.,돌파(짧은 continuation),LONG 즉시 / SL 1KTR / TP 2KTR / 추가진입 없음,상단 DB + 강한 양봉 몸통(+2.94KTR) + 두 밴드 밖 마감 + 세션 고가/최근 pivot 동시 돌파. 다만 3KTR까지의 공간은 실제로 없었음.,돌파가 맞아도 TP를 과욕내면 승리가 손실로 바뀐다. breakout은 wide SL/평단추가보다 빠른 실현이 우선.,HIGH
GOLD#,GOLD-02,2026-04-24 05:00:00,2026-04-24 06:00:00,LOWER,13.909999999999854,LOW,ASIA,4676.8,SHORT,3.0,3.0,SL,6,-6.0,2026-04-24 06:00:00,2026-04-24 17:05:00,처음에는 하방 1KTR 이상 진행했지만 곧 실패하고 24h 내 상방 +4.6KTR 반전.,돌파 실패 → 후속 변곡,첫 진입은 SHORT scalp / SL 0.5KTR / TP 1KTR. 이후 reclaim 확인 전에는 추가 숏 금지; reclaim 후 LONG은 별도 사건.,하락 추세/MA 하방/세션 저가 이탈은 숏 근거였지만 두 밴드 밖 몸통마감은 아니고 KTR도 LOW. 즉 강한 장기 continuation보다 짧은 하방 burst로 보는 편이 자연스러움.,한 DB가 “첫 방향→실패→반대 변곡”의 2단계 이벤트가 될 수 있다. 고정 3K 목표가 문제.,HIGH
GOLD#,GOLD-03,2026-05-15 12:00:00,2026-05-15 13:00:00,LOWER,22.64999999999964,NORMAL,EUROPE,4545.74,SKIP,,,SKIP,0,0.0,,,"상방 +1.18KTR, 하방 -1.50KTR 정도의 양방향 소음. 뚜렷한 2K move 없음.",애매/무거래,SKIP,이미 12h -4.7KTR 내려온 뒤 BB20 폭이 최근 대비 약 3배로 확장된 상태인데 이벤트 캔들 몸통은 -0.37KTR로 약함.,희귀 이벤트라는 이유만으로 거래하면 안 된다. 이미 변동성 확장이 소진된 뒤의 DB는 정보량이 낮을 수 있다.,HIGH
GOLD#,GOLD-04,2026-05-27 13:00:00,2026-05-27 14:00:00,LOWER,13.430000000000293,LOW,EUROPE,4445.7,SHORT,3.5,3.0,TP,4,5.876975670396019,2026-05-27 14:00:00,2026-05-27 16:28:00,"약 +1.57KTR 역행을 견딘 뒤 하방 3KTR를 2.5시간 내, 이후 약 5.9KTR까지 진행.",돌파(저 KTR pullback continuation),SHORT / 공통 SL 2KTR / TP 3KTR / 0.5KTR 간격 최대 3회 추가 가능,"LOW KTR, 강한 음봉(-3.30KTR), 두 밴드 밖 마감, 하락 추세와 세션 저가 이탈이 모두 일치. 이 경우 역행은 thesis invalidation이 아니라 저 KTR 환경의 pullback으로 해석 가능.",분할진입이 가장 잘 맞는 유형은 이런 “방향 우위는 강하지만 KTR이 작아 흔들림이 큰” continuation.,HIGH
